time	species	transcript
1	protein1	0.15
1	protein3	0.1
1	protein2	0.06
2	protein1	0.3
2	protein3	0.2
2	protein2	0.12
3	protein1	0.45
3	protein3	0.3
3	protein2	0.18
4	protein1	0.6
4	protein3	0.4
4	protein2	0.24
5	protein1	0.75
5	protein3	0.5
5	protein2	0.3
6	protein1	0.9
6	protein3	0.6
6	protein2	0.36
7	protein1	1.05
7	protein3	0.7
7	protein2	0.42
8	protein1	1.2
8	protein3	0.8
8	protein2	0.48
9	protein1	1.35
9	protein3	0.9
9	protein2	0.54
10	protein1	1.5
10	protein3	1
10	protein2	0.6
11	protein1	1.65
11	protein3	1.1
11	protein2	0.66
12	protein1	1.8
12	protein3	1.2
12	protein2	0.72
13	protein1	1.95
13	protein3	1.3
13	protein2	0.78
14	protein1	2.1
14	protein3	1.4
14	protein2	0.84
15	protein1	2.25
15	protein3	1.5
15	protein2	0.9
16	protein1	2.4
16	protein3	1.6
16	protein2	0.96
17	protein1	2.55
17	protein3	1.7
17	protein2	1.02
18	protein1	2.7
18	protein3	1.8
18	protein2	1.08
19	protein1	2.85
19	protein3	1.9
19	protein2	1.14
20	protein1	3
20	protein3	2
20	protein2	1.2
21	protein1	3.15
21	protein3	2.1
21	protein2	1.26
22	protein1	3.3
22	protein3	2.2
22	protein2	1.32
23	protein1	3.45
23	protein3	2.3
23	protein2	1.38
24	protein1	3.6
24	protein3	2.4
24	protein2	1.44
25	protein1	3.75
25	protein3	2.5
25	protein2	1.5
26	protein1	3.9
26	protein3	2.6
26	protein2	1.56
27	protein1	4.05
27	protein3	2.7
27	protein2	1.62
28	protein1	4.2
28	protein3	2.8
28	protein2	1.68
29	protein1	4.35
29	protein3	2.9
29	protein2	1.74
30	protein1	4.5
30	protein3	3
30	protein2	1.8
31	protein1	4.65
31	protein3	3.1
31	protein2	1.86
32	protein1	4.8
32	protein3	3.2
32	protein2	1.92
33	protein1	4.95
33	protein3	3.3
33	protein2	1.98
34	protein1	5.1
34	protein3	3.4
34	protein2	2.04
35	protein1	5.25
35	protein3	3.5
35	protein2	2.1
36	protein1	5.4
36	protein3	3.6
36	protein2	2.16
37	protein1	5.55
37	protein3	3.7
37	protein2	2.22
38	protein1	5.7
38	protein3	3.8
38	protein2	2.28
39	protein1	5.85
39	protein3	3.9
39	protein2	2.34
40	protein1	6
40	protein3	4
40	protein2	2.4
41	protein1	6.15
41	protein3	4.1
41	protein2	2.46
42	protein1	6.3
42	protein3	4.2
42	protein2	2.52
43	protein1	6.45
43	protein3	4.3
43	protein2	2.58
44	protein1	6.6
44	protein3	4.4
44	protein2	2.64
45	protein1	6.75
45	protein3	4.5
