time	species	transcript
1	protein1	0.04
1	protein2	0.13
1	protein3	0.08
2	protein1	0.08
2	protein2	0.26
2	protein3	0.16
3	protein1	0.12
3	protein2	0.39
3	protein3	0.24
4	protein1	0.16
4	protein2	0.52
4	protein3	0.32
5	protein1	0.2
5	protein2	0.65
5	protein3	0.4
6	protein1	0.24
6	protein2	0.78
6	protein3	0.48
7	protein1	0.28
7	protein2	0.91
7	protein3	0.56
8	protein1	0.32
8	protein2	1.04
8	protein3	0.64
9	protein1	0.36
9	protein2	1.17
9	protein3	0.72
10	protein1	0.4
10	protein2	1.3
10	protein3	0.8
11	protein1	0.44
11	protein2	1.4300000000000002
11	protein3	0.88
12	protein1	0.48
12	protein2	1.56
12	protein3	0.96
13	protein1	0.52
13	protein2	1.69
13	protein3	1.04
14	protein1	0.56
14	protein2	1.82
14	protein3	1.12
15	protein1	0.6
15	protein2	1.9500000000000002
15	protein3	1.2
16	protein1	0.64
16	protein2	2.08
16	protein3	1.28
17	protein1	0.68
17	protein2	2.21
17	protein3	1.36
18	protein1	0.72
18	protein2	2.34
18	protein3	1.44
19	protein1	0.76
19	protein2	2.47
19	protein3	1.52
20	protein1	0.8
20	protein2	2.6
20	protein3	1.6
21	protein1	0.84
21	protein2	2.73
21	protein3	1.68
22	protein1	0.88
22	protein2	2.8600000000000003
22	protein3	1.76
23	protein1	0.92
23	protein2	2.99
23	protein3	1.84
24	protein1	0.96
24	protein2	3.12
24	protein3	1.92
25	protein1	1.0
25	protein2	3.25
25	protein3	2.0
26	protein1	1.04
26	protein2	3.38
26	protein3	2.08
27	protein1	1.08
27	protein2	3.5100000000000002
27	protein3	2.16
28	protein1	1.12
28	protein2	3.64
28	protein3	2.24
29	protein1	1.16
29	protein2	3.77
29	protein3	2.32
30	protein1	1.2
30	protein2	3.9000000000000004
30	protein3	2.4
31	protein1	1.24
31	protein2	4.03
31	protein3	2.48
32	protein1	1.28
32	protein2	4.16
32	protein3	2.56
33	protein1	1.32
33	protein2	4.29
33	protein3	2.64
34	protein1	1.36
34	protein2	4.42
34	protein3	2.72
35	protein1	1.4000000000000001
35	protein2	4.55
35	protein3	2.8000000000000003
36	protein1	1.44
36	protein2	4.68
36	protein3	2.88
37	protein1	1.48
37	protein2	4.8100000000000005
37	protein3	2.96
38	protein1	1.52
38	protein2	4.94
38	protein3	3.04
39	protein1	1.56
39	protein2	5.07
39	protein3	3.12
40	protein1	1.6
40	protein2	5.2
40	protein3	3.2
41	protein1	1.6400000000000001
41	protein2	5.33
