time	species	transcript
1	protein1	0.04
1	protein2	0.08
1	protein3	0.13
2	protein1	0.08
2	protein2	0.16
2	protein3	0.26
3	protein1	0.12
3	protein2	0.24
3	protein3	0.39
4	protein1	0.16
4	protein2	0.32
4	protein3	0.52
5	protein1	0.2
5	protein2	0.4
5	protein3	0.65
6	protein1	0.24
6	protein2	0.48
6	protein3	0.78
7	protein1	0.28
7	protein2	0.56
7	protein3	0.91
8	protein1	0.32
8	protein2	0.64
8	protein3	1.04
9	protein1	0.36
9	protein2	0.72
9	protein3	1.17
10	protein1	0.4
10	protein2	0.8
10	protein3	1.3
11	protein1	0.44
11	protein2	0.88
11	protein3	1.4300000000000002
12	protein1	0.48
12	protein2	0.96
12	protein3	1.56
13	protein1	0.52
13	protein2	1.04
13	protein3	1.69
14	protein1	0.56
14	protein2	1.12
14	protein3	1.82
15	protein1	0.6
15	protein2	1.2
15	protein3	1.9500000000000002
16	protein1	0.64
16	protein2	1.28
16	protein3	2.08
17	protein1	0.68
17	protein2	1.36
17	protein3	2.21
18	protein1	0.72
18	protein2	1.44
18	protein3	2.34
19	protein1	0.76
19	protein2	1.52
19	protein3	2.47
20	protein1	0.8
20	protein2	1.6
20	protein3	2.6
21	protein1	0.84
21	protein2	1.68
21	protein3	2.73
22	protein1	0.88
22	protein2	1.76
22	protein3	2.8600000000000003
23	protein1	0.92
23	protein2	1.84
23	protein3	2.99
24	protein1	0.96
24	protein2	1.92
24	protein3	3.12
25	protein1	1.0
25	protein2	2.0
25	protein3	3.25
26	protein1	1.04
26	protein2	2.08
26	protein3	3.38
27	protein1	1.08
27	protein2	2.16
27	protein3	3.5100000000000002
28	protein1	1.12
28	protein2	2.24
28	protein3	3.64
29	protein1	1.16
29	protein2	2.32
29	protein3	3.77
30	protein1	1.2
30	protein2	2.4
30	protein3	3.9000000000000004
31	protein1	1.24
31	protein2	2.48
31	protein3	4.03
32	protein1	1.28
32	protein2	2.56
32	protein3	4.16
33	protein1	1.32
33	protein2	2.64
33	protein3	4.29
34	protein1	1.36
34	protein2	2.72
34	protein3	4.42
35	protein1	1.4000000000000001
35	protein2	2.8000000000000003
35	protein3	4.55
36	protein1	1.44
36	protein2	2.88
36	protein3	4.68
37	protein1	1.48
37	protein2	2.96
37	protein3	4.8100000000000005
38	protein1	1.52
38	protein2	3.04
38	protein3	4.94
39	protein1	1.56
39	protein2	3.12
39	protein3	5.07
40	protein1	1.6
40	protein2	3.2
40	protein3	5.2
41	protein1	1.6400000000000001
41	protein2	3.2800000000000002
41	protein3	5.33
42	protein1	1.68
42	protein2	3.36
42	protein3	5.46
43	protein1	1.72
43	protein2	3.44
43	protein3	5.59
44	protein1	1.76
44	protein2	3.52
44	protein3	5.720000000000001
45	protein1	1.8
45	protein2	3.6
45	protein3	5.8500000000000005
46	protein1	1.84
46	protein2	3.68
46	protein3	5.98
47	protein1	1.8800000000000001
47	protein2	3.7600000000000002
47	protein3	6.11
48	protein1	1.92
48	protein2	3.84
48	protein3	6.24
49	protein1	1.96
49	protein2	3.92
49	protein3	6.37
50	protein1	2.0
50	protein2	4.0
50	protein3	6.5
51	protein1	2.04
51	protein2	4.08
51	protein3	6.63
52	protein1	2.08
52	protein2	4.16
52	protein3	6.76
53	protein1	2.12
53	protein2	4.24
53	protein3	6.890000000000001
54	protein1	2.16
54	protein2	4.32
54	protein3	7.0200000000000005
55	protein1	2.2
55	protein2	4.4
55	protein3	7.15
56	protein1	2.24
56	protein2	4.48
56	protein3	7.28
57	protein1	2.2800000000000002
57	protein2	4.5600000000000005
57	protein3	7.41
58	protein1	2.32
58	protein2	4.64
58	protein3	7.54
59	protein1	2.36
59	protein2	4.72
59	protein3	7.67
60	protein1	2.4
60	protein2	4.8
60	protein3	7.800000000000001
61	protein1	2.44
61	protein2	4.88
61	protein3	7.930000000000001
62	protein1	2.48
62	protein2	4.96
62	protein3	8.06
63	protein1	2.52
63	protein2	5.04
63	protein3	8.19
64	protein1	2.56
64	protein2	5.12
64	protein3	8.32
65	protein1	2.6
65	protein2	5.2
65	protein3	8.450000000000001
66	protein1	2.64
66	protein2	5.28
66	protein3	8.58
67	protein1	2.68
67	protein2	5.36
67	protein3	8.71
68	protein1	2.72
68	protein2	5.44
68	protein3	8.84
69	protein1	2.7600000000000002
69	protein2	5.5200000000000005
69	protein3	8.97
70	protein1	2.8000000000000003
70	protein2	5.6000000000000005
70	protein3	9.1
71	protein1	2.84
71	protein2	5.68
71	protein3	9.23
72	protein1	2.88
72	protein2	5.76
72	protein3	9.36
73	protein1	2.92
73	protein2	5.84
73	protein3	9.49
74	protein1	2.96
74	protein2	5.92
74	protein3	9.620000000000001
75	protein1	3.0
75	protein2	6.0
75	protein3	9.75
76	protein1	3.04
76	protein2	6.08
76	protein3	9.88
77	protein1	3.08
77	protein2	6.16
77	protein3	10.01
78	protein1	3.12
78	protein2	6.24
78	protein3	10.14
79	protein1	3.16
79	protein2	6.32
79	protein3	10.27
80	protein1	3.2
80	protein2	6.4
80	protein3	10.4
81	protein1	3.24
81	protein2	6.48
81	protein3	10.530000000000001
82	protein1	3.2800000000000002
82	protein2	6.5600000000000005
82	protein3	10.66
83	protein1	3.3200000000000003
83	protein2	6.640000000000001
83	protein3	10.790000000000001
84	protein1	3.36
84	protein2	6.72
84	protein3	10.92
85	protein1	3.4
85	protein2	6.8
85	protein3	11.05
86	protein1	3.44
86	protein2	6.88
86	protein3	11.18
87	protein1	3.48
87	protein2	6.96
87	protein3	11.31
88	protein1	3.52
88	protein2	7.04
88	protein3	11.440000000000001
89	protein1	3.56
89	protein2	7.12
89	protein3	11.57
