time	species	transcript
1	protein1	0.07
1	protein2	0.1
1	protein3	0.03
2	protein1	0.14
2	protein2	0.2
2	protein3	0.06
3	protein1	0.21000000000000002
3	protein2	0.30000000000000004
3	protein3	0.09
4	protein1	0.28
4	protein2	0.4
4	protein3	0.12
5	protein1	0.35000000000000003
5	protein2	0.5
5	protein3	0.15
6	protein1	0.42000000000000004
6	protein2	0.6000000000000001
6	protein3	0.18
7	protein1	0.49000000000000005
7	protein2	0.7000000000000001
7	protein3	0.21
8	protein1	0.56
8	protein2	0.8
8	protein3	0.24
9	protein1	0.6300000000000001
9	protein2	0.9
9	protein3	0.27
10	protein1	0.7000000000000001
10	protein2	1.0
10	protein3	0.3
11	protein1	0.77
11	protein2	1.1
11	protein3	0.32999999999999996
12	protein1	0.8400000000000001
12	protein2	1.2000000000000002
12	protein3	0.36
13	protein1	0.9100000000000001
13	protein2	1.3
13	protein3	0.39
14	protein1	0.9800000000000001
14	protein2	1.4000000000000001
14	protein3	0.42
15	protein1	1.05
15	protein2	1.5
15	protein3	0.44999999999999996
16	protein1	1.12
16	protein2	1.6
16	protein3	0.48
17	protein1	1.1900000000000002
17	protein2	1.7000000000000002
17	protein3	0.51
18	protein1	1.2600000000000002
18	protein2	1.8
18	protein3	0.54
19	protein1	1.33
19	protein2	1.9000000000000001
19	protein3	0.57
20	protein1	1.4000000000000001
20	protein2	2.0
20	protein3	0.6
21	protein1	1.4700000000000002
21	protein2	2.1
21	protein3	0.63
22	protein1	1.54
22	protein2	2.2
22	protein3	0.6599999999999999
23	protein1	1.61
23	protein2	2.3000000000000003
23	protein3	0.69
24	protein1	1.6800000000000002
24	protein2	2.4000000000000004
24	protein3	0.72
25	protein1	1.7500000000000002
25	protein2	2.5
25	protein3	0.75
26	protein1	1.8200000000000003
26	protein2	2.6
26	protein3	0.78
27	protein1	1.8900000000000001
27	protein2	2.7
27	protein3	0.8099999999999999
28	protein1	1.9600000000000002
28	protein2	2.8000000000000003
28	protein3	0.84
29	protein1	2.0300000000000002
29	protein2	2.9000000000000004
29	protein3	0.87
30	protein1	2.1
30	protein2	3.0
30	protein3	0.8999999999999999
31	protein1	2.1700000000000004
31	protein2	3.1
31	protein3	0.9299999999999999
32	protein1	2.24
32	protein2	3.2
32	protein3	0.96
33	protein1	2.31
33	protein2	3.3000000000000003
33	protein3	0.99
34	protein1	2.3800000000000003
34	protein2	3.4000000000000004
34	protein3	1.02
35	protein1	2.45
35	protein2	3.5
35	protein3	1.05
36	protein1	2.5200000000000005
36	protein2	3.6
36	protein3	1.08
37	protein1	2.5900000000000003
37	protein2	3.7
37	protein3	1.1099999999999999
38	protein1	2.66
38	protein2	3.8000000000000003
38	protein3	1.14
39	protein1	2.7300000000000004
39	protein2	3.9000000000000004
39	protein3	1.17
40	protein1	2.8000000000000003
40	protein2	4.0
40	protein3	1.2
41	protein1	2.87
41	protein2	4.1000000000000005
